Rk,Player,Age,Team,Pos,G,GS,Int,Int Yds,IntTD,Lng Int,PD,FF,Fmb,FR,Yds,FR TD,Sack,Comb Tackles,Solo Tackles,Tackle Ast,TFL,QBHits,Safety,Awards
1403,Brittain Brown,28,CHI,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1404,Jaylon Carlies,24,IND,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1405,Ty Chandler,27,MIN,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1406,Zion Childress,23,DAL,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,
1407,Cole Christiansen,28,KAN,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,
1408,Jaden Crumedy,25,CAR,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,
1409,DeeJay Dallas,27,CAR,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,
1410,Jaden Davis,24,ARI,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,
1411,Ali Gaye,27,TEN,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1412,Anthony Goodlow,25,ARI,DL,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,
1413,Jalen Graham,24,SFO,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1414,A.J. Green,27,MIA,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1415,Darius Harris,29,NWE,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,
1416,Tanner Ingle,26,LAR,S,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1417,Brennan Jackson,25,LVR,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,
1418,Dane Jackson,29,BUF,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,
1419,Drake Jackson,24,WAS,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,
1420,Javontae Jean-Baptiste,25,WAS,DE,3,0,0,0,0,0,0,0,0,0,0,0,1,6,2,4,1,1,0,
1421,Keonta Jenkins,23,BUF,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,0,0,
1422,Andre Jones,27,BUF,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,
1423,Sai'vion Jones,22,DEN,DE,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
1424,Ko Kieft,27,TAM,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,
1425,Eku Leota,26,NOR,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1426,Zion Logue,24,BUF,DT,3,0,0,0,0,0,1,0,0,0,0,0,0.5,2,1,1,0,1,0,
1427,Chandler Martin,23,BAL,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,
1428,Tay Martin,28,WAS,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1429,Jalen Milroe,23,SEA,QB,3,0,0,0,0,0,0,0,1,0,-3,0,0,0,0,0,0,0,0,
1430,Jalen Moreno-Cropper,24,DAL,WR,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
1431,Durell Nchami,25,IND,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1432,George Odum,32,IND,S,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,
1433,Bryce Oliver,25,TEN,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1434,Jeremiah Pharms,29,NWE,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,
1435,Zacch Pickens,25,KAN,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,
1436,Jalen Reeves-Maybin,30,CHI,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,
1437,Andre' Sam,26,PHI,S,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1438,Cam'Ron Silmon-Craig,23,JAX,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,
1439,Baylon Spector,27,BUF,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,
1440,Bradyn Swinson,23,NWE,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1441,Sione Takitaki,30,MIN,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,
1442,Marlon Tuipulotu,26,KAN,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1443,Josh Tupou,31,BAL,NT,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,
1444,Malik Turner,29,SFO,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,
1445,Justin Watson,29,HOU,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1446,Ja'Markis Weston,25,NYJ,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,
1447,Marcus Williams,29,LAC,S,3,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,
1448,Rashad Wisdom,24,TAM,S,3,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0,0,0,
1449,Jackson Woodard,23,MIA,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1450,Mike Hilton,31,IND,CB,2,2,0,0,0,0,0,1,0,0,0,0,0,5,4,1,1,0,0,
1451,Nnamdi Madubuike,28,BAL,DL,2,2,0,0,0,0,0,0,0,0,0,0,2,7,5,2,2,3,0,
1452,Deatrich Wise Jr.,31,WAS,DE,2,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,0,
1453,Drake Dabney,23,GNB,TE,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
1454,Jamin Davis,27,LVR,LB,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,
1455,Storm Duck,25,MIA,CB,2,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,
1456,Shaquill Griffin,30,SEA,CB,2,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,
1457,Jamon Johnson,24,GNB,LB,2,1,0,0,0,0,1,0,0,0,0,0,0,10,3,7,0,0,0,
1458,Clayton Tune,26,GNB,QB,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1459,Jaire Alexander,28,BAL,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,
1460,Eli Apple,30,SFO,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1461,Damon Arnette,29,HOU,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,
1462,Ricky Barber,24,WAS,DT,2,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,1,1,0,
1463,Ronnie Bell,25,NOR,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1464,Chris Board,30,NYG,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,
1465,Dalevon Campbell,24,CAR,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1466,Kaden Davis,27,CLE,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1467,Ta'Quon Graham,27,ATL,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,0,
1468,Mecole Hardman,27,BUF,WR,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1469,Jahfari Harvey,24,LVR,DE,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,
1470,Michael Hoecht,28,BUF,DE,2,0,0,0,0,0,0,1,0,0,0,0,2,5,2,3,1,2,0,
1471,Maurice Hurst Jr.,30,CLE,DT,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,
1472,Alijah Huzzie,24,HOU,CB,2,0,1,0,0,0,1,0,0,0,0,0,0,4,3,1,0,0,0,
1473,Caleb Johnson,27,MIA,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1474,Nazeeh Johnson,27,KAN,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1475,Tim Jones,27,JAX,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1476,Nikola Kalinic,28,CHI,TE,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,0,
1477,Bralyn Lux,25,CIN,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,
1478,Jeremiah Moon,27,PIT,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,
1479,Kendall Sheffield,29,MIA,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1480,Ameer Speed,26,HOU,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1481,Loren Strickland,25,DET,S,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1482,Taki Taimani,26,MIN,DL,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1483,Keith Taylor,27,ATL,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,
1484,Mekhi Wingo,22,DET,DL,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,
1485,Julian Blackmon,27,NOR,S,1,1,0,0,0,0,1,0,0,0,0,0,0,7,4,3,0,0,0,
